datum,LJ_Bežigrad,NG,MB_Vranski,Iskrba,Celje
01.01.20,86,20,45,7,82
02.01.20,65,22,33,6,67
03.01.20,69,31,44,4,77
04.01.20,94,32,37,7,74
05.01.20,37,15,9,15,19
06.01.20,40,20,24,4,48
07.01.20,60,33,39,5,75
08.01.20,73,23,39,6,82
09.01.20,76,31,50,5,86
10.01.20,42,49,61,6,43
11.01.20,54,21,39,10,61
12.01.20,38,27,29,10,45
13.01.20,54,25,34,9,61
14.01.20,42,47,33,8,51
15.01.20,29,59,35,8,35
16.01.20,42,42,51,7,41
17.01.20,51,26,34,21,42
18.01.20,34,25,25,13,31
19.01.20,27,9,24,7,40
20.01.20,29,10,19,9,38
21.01.20,35,27,33,12,48
22.01.20,45,32,40,8,65
23.01.20,42,24,37,11,74
24.01.20,50,28,39,8,70
25.01.20,46,38,47,9,40
26.01.20,40,31,26,8,55
27.01.20,28,27,25,7,41
28.01.20,15,27,14,4,12
29.01.20,16,36,10,5,17
30.01.20,33,22,15,5,24
31.01.20,15,46,6,3,11
01.02.20,14,59,8,2,10
02.02.20,15,71,12,4,8
03.02.20,19,57,14,7,20
04.02.20,13,18,8,3,8
05.02.20,2,6,2,2,3
06.02.20,10,12,8,2,18
07.02.20,25,22,19,5,37
08.02.20,39,24,24,7,42
09.02.20,35,41,28,9,34
10.02.20,14,54,8,5,11
11.02.20,16,51,5,6,12
12.02.20,11,17,10,4,18
13.02.20,20,16,10,4,28
14.02.20,12,16,9,2,11
15.02.20,23,13,13,3,26
16.02.20,18,15,19,4,21
17.02.20,17,30,13,4,13
18.02.20,16,20,18,4,20
19.02.20,14,8,11,4,18
20.02.20,11,9,9,2,19
21.02.20,19,16,10,3,16
22.02.20,15,13,15,4,18
23.02.20,27,36,18,10,24
24.02.20,35,41,14,8,32
25.02.20,24,26,15,6,23
26.02.20,9,13,8,4,12
27.02.20,12,6,4,2,7
28.02.20,9,8,5,2,8
29.02.20,12,8,8,4,14
01.03.20,9,9,6,3,9
02.03.20,8,12,11,4,10
03.03.20,8,6,5,2,9
04.03.20,6,7,6,2,9
05.03.20,15,,6,3,12
06.03.20,10,7,7,3,10
07.03.20,16,6,9,5,9
08.03.20,12,9,11,5,16
09.03.20,23,16,17,6,21
10.03.20,18,21,10,5,19
11.03.20,14,29,15,6,17
12.03.20,23,21,14,7,17
13.03.20,25,33,12,5,23
14.03.20,7,6,10,4,13
15.03.20,10,9,11,6,13
16.03.20,15,13,20,8,26
17.03.20,21,19,16,6,18
18.03.20,21,16,17,8,21
19.03.20,20,14,15,12,23
20.03.20,21,20,16,13,21
21.03.20,14,21,17,13,17
22.03.20,7,6,6,7,6
23.03.20,6,5,8,7,6
24.03.20,13,9,13,15,15
25.03.20,11,10,13,9,14
26.03.20,13,11,18,12,21
27.03.20,53,90,41,22,52
28.03.20,38,36,23,23,33
29.03.20,25,19,16,16,19
30.03.20,10,8,7,9,10
31.03.20,8,6,9,7,12
